,Solution,Reasoning,Confidence
41,B,"Before a game begins the score is 0-0, so John made an easy correct prediction.  ",0.9
42,A,"The score is always 0-0 before tipoff, making it an easy correct prediction.",0.95
43,A,"If the assistant captain left, the team captain would take over leadership.",0.95
44,C,"You can only subtract 10 from 100 one time, the result would then be 90.  ",1.0
45,C,"If all 11 sheep are white, then half of them (11/2 = 5.5) would also be white.",1.0  
46,C,"If the officer is James's sister, it explains how she says she has no brother while James has no sister.  ",0.9
47,C,"If all 9 children are boys, then half of 9 (4.5 rounded) is 5 boys.  ",1.0
48,A,Triplets can share similar genetics and appearances yet have distinct identities. This would allow the truthful answers.,0.85
49,A,"If the ground itself was not wet, then no need for special boots to keep feet dry.",0.9
50,A,"Before a game starts, the score is always 0-0, making it an easy correct prediction.",0.95
51,A,"This explains how the officer deduced the identity of ""John"" based on gender.  ",0.8  
52,C,Stopping 5 times every half hour totals 2 hours (1.5 hours plus an extra half hour).  ,1.0
53,B,"If the tank was a ring/circle shape, the fish could see each other going opposite ways.  ",0.85
54,B,The color difference provides a logical reason for differing food intake.,0.9
55,A,Triplets can share very similar genetics and appearance while having distinct identities.,0.85
56,A,"If the ground was dry, there'd be no need for special boots to keep feet dry.",0.9
57,B,"If the fat dog is the slim dog's mother, it explains the parental relationship.  ",0.95
58,B,Facing each other allows seeing the other smiling despite looking opposite ways.  ,0.95 
59,D,Christmas and New Years never fall on the exact same day.,1.0
60,C,"The yellow color from the stone will transfer onto the white shirt, making the shirt yellow.",0.9
61,B,"If the other end is untied, the lion has 6m of movement from the tied end, allowing it to reach 7m.",0.8
62,B,"The animals listed are imaginary, so only real legs on the ground are the bed's and yours. ",0.95
63,B,This is the only plausible explanation based on the physics and logic of the situation.,0.7
64,B,A barber shaving customers throughout the day can keep their own beard.,0.9
65,C,Concrete is too hard for an egg to crack on when dropped.,0.85
66,C,This explains how he read with no light sources.,0.9
67,B,This is the only plausible explanation for how it reached the island.,0.9
68,C,"Numbers are the same in all languages, so only the math test made sense.",0.95
69,A,"This explains how he could ride out of town on Friday and return on Sunday, since Sunday refers to his horse rather than the day.  ",0.9
70,C,"If thrown gently, the sturdy brick wall will not shatter the fragile glass ball. Throwing hard would likely break it.",0.8
71,B,"This explains why Lisa is William's niece but not Emily's, even though they are siblings.",0.85
72,B,The police would prioritize putting out the fire in the room with crucial documents.,0.9 
73,C,"Numbers are identical across languages, so the math test made sense.",0.95
74,B,Jumping from the ground level explains how he was unharmed. ,0.9
75,C,Being only on the first step explains how he was unhurt from the fall.,0.95
76,A,"Low tide stranded the boats, and high tide will refloat them.",0.85
77,B,Publishers put out books written by other authors.,0.9
78,B,This explains how he read with no light sources present. ,0.9
79,B,This explains how the boat ended up drifting into the ocean after being tied up.,0.7
80,A,A gentle throw is less likely to break the egg than a hard throw against the hard surface.  ,0.85
81,C,"They did not suddenly disappear, but are merely out of sight briefly.",0.9
82,C,The color would transfer from the sea water to the white shirt.,0.95
83,A,The slope makes the walks easy in each direction.,0.8
84,B,"The customers are still there, just not visible at the moment.",0.7
85,B,Being only on the first step explains how he was unhurt. ,0.95
86,C,"The riddle gives the names of four children, so the fifth one must be Mary.",0.9
87,B,Important documents would take priority over money or jewels. ,0.85
88,A,"He ran 2 more km each day, so if he ran 70 km total over 5 days, he must have run 5 km to start.",0.9
89,C,This is the only plausible explanation for how it reached the island.,0.8
90,B,"He caught 3 more each day, so if he caught 30 over 5 days, he must have started with 1 on day 1.",0.95
91,B,This explains how Tony's nephew is not also Jack's nephew.,0.9
92,C,Ten minus one shot leaves nine birds remaining. ,0.99 
93,A,Working there allows him to eat without paying.,0.9
94,C,This explains how there are 4 daughters and 1 brother but only 5 children.,0.85
95,C,The heads of the organization are not separate people.,0.95
96,B,This explains how he left and returned on Sunday - it referred to his horse.,0.8
97,C,The slope makes the rides easy in each direction. ,0.9
98,A,This explains how there are 5 players and 5 coaches but only 6 total.,0.85
99,A,This explains why Lisa is William's niece but not Emily's niece.,0.9
100,B,The slope makes the rides easy downhill in each direction.,0.9
101,C,"The masked individuals were likely the burglars, so the unmasked ones were arrested.",0.85
102,A,An untied end gives the dog 6m of movement to reach the bone 7m away.,0.95
103,C,Being blind explains how she reads with no light. ,0.9
104,C,This explains how he left and returned on Sunday.,0.8
105,C,This is the only plausible explanation for the dog being unharmed.,0.7
106,A,Ten minus one is nine left.,0.99
107,B,This explains how he marries others without being married.,0.95
108,C,"The riddle gives the names of four children, so the fifth is Mary.",0.9
109,B,"The other three students are named, so Ana is the fourth.",0.85
110,B,This is the only plausible way she could have survived the fall.,0.8
111,B,Barbers shave customers but keep their own beard. ,0.95
112,C,"Since they didn't know English, guessing using their existing knowledge is the only plausible explanation.",0.7
113,B,The red color from the sea would transfer onto the shirt.,0.9
114,B,"The people are still there, just temporarily out of sight. ",0.85
115,B,"He caught 3 more each day, so if 30 total over 5 days, he must have started with 1. ",0.95
116,C,Google requires an internet connection to be accessible.,0.99
117,B,This explains marrying others without being married himself.,0.9
118,B,"The animals listed are imaginary, so only real legs are counted.",0.95
119,C,This explains how there are 4 daughters and 1 brother but only 5 kids total.,0.85
